rank,package,version,trustScore,confidence
576,lodash.flow,3.5.0,78.01,95
577,lodash.escaperegexp,4.1.2,78,95
578,log4js,6.9.1,78,95
579,@nodelib/fs.stat,4.0.0,78,95
580,@nodelib/fs.walk,3.0.1,78,95
581,@nodelib/fs.scandir,4.0.1,78,95
582,colord,2.9.3,78,95
583,react-datepicker,9.1.0,78,95
584,makeerror,1.0.12,78,95
585,react-onclickoutside,6.13.2,78,95
586,ramda,0.32.0,77.95,95
587,@emotion/is-prop-valid,1.4.0,77.94,95
588,semantic-ui-react,2.1.5,77.93,95
589,react-native-web,0.21.2,77.87,95
590,js-beautify,2.0.3,77.85,95
591,@fluentui/react-focus,8.10.7,77.85,95
592,@discordjs/builders,1.14.1,77.84,95
593,shallow-clone,3.0.1,77.82,95
594,to-regex-range,5.0.1,77.81,95
595,react-router-native,6.30.4,77.78,95
596,loader-runner,4.3.2,77.77,95
597,min-document,2.19.2,77.77,95
598,@babel/preset-env,8.0.2,77.76,95
599,tough-cookie,6.0.2,77.75,95
600,node-notifier,10.0.1,77.75,95
601,cli-width,4.1.0,77.75,95
602,minizlib,3.1.0,77.71,95
603,@protobufjs/fetch,1.1.1,77.7,95
604,rimraf,6.1.3,77.69,95
605,fp-ts,2.16.11,77.68,95
606,mobx,6.16.1,77.65,95
607,@protobufjs/eventemitter,1.1.1,77.64,95
608,ipaddr.js,2.4.0,77.64,95
609,lodash.isundefined,3.0.1,77.62,95
610,eslint-import-resolver-webpack,0.13.11,77.57,95
611,buffer,6.0.3,77.55,95
612,lodash.identity,3.0.0,77.55,95
613,through2,5.0.7,77.54,95
614,@react-native-async-storage/async-storage,3.1.1,77.54,95
615,@fullcalendar/interaction,6.1.21,77.52,95
616,fast-glob,3.3.3,77.5,95
617,@svgr/babel-plugin-svg-dynamic-title,8.0.0,77.5,95
618,kleur,4.1.5,77.5,95
619,pkg-dir,9.0.0,77.5,95
620,end-of-stream,1.4.5,77.5,95
621,aproba,2.1.0,77.5,95
622,is-binary-path,3.0.0,77.5,95
623,tiny-invariant,1.3.3,77.5,95
624,chrome-trace-event,1.0.4,77.5,95
625,arch,3.0.0,77.5,95
626,github-slugger,2.0.0,77.5,95
627,vfile-message,4.0.3,77.49,95
628,react-player,3.4.0,77.48,95
629,emittery,2.0.0,77.46,95
630,@react-spring/types,10.1.2,77.43,95
631,@react-spring/rafz,10.1.2,77.43,95
632,normalize-url,9.0.1,77.42,95
633,@cypress/react,9.0.2,77.41,95
634,html-encoding-sniffer,6.0.0,77.4,95
635,postcss-pseudo-class-any-link,11.0.0,77.39,95
636,postcss-place,11.0.0,77.39,95
